POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1895,2.87E+00,7.97E-01,0.00E+00,-1.60E+00,3.15E+00,3.61E-05
1896,7.63E-01,3.38E-01,0.00E+00,-4.26E-01,8.12E-01,9.38E-06
1897,9.15E-01,4.80E-01,0.00E+00,-3.65E-01,9.78E-01,1.29E-05
1898,1.14E+00,5.57E-01,0.00E+00,-4.64E-01,1.22E+00,1.52E-05
1899,1.41E+00,6.52E-01,0.00E+00,-6.23E-01,1.52E+00,1.81E-05
1900,1.74E+00,7.10E-01,0.00E+00,-8.71E-01,1.90E+00,2.18E-05
1901,2.08E+00,6.81E-01,0.00E+00,-1.21E+00,2.33E+00,2.57E-05
1902,2.36E+00,5.26E-01,0.00E+00,-1.55E+00,2.68E+00,2.96E-05
1903,2.45E+00,-2.50E-01,0.00E+00,-2.10E+00,2.82E+00,2.40E-05
1904,4.78E-01,3.32E-01,0.00E+00,-1.63E-01,5.20E-01,1.05E-05
1905,2.15E+00,-1.08E-01,0.00E+00,-1.80E+00,2.37E+00,1.85E-06
1906,1.97E+00,1.33E-01,0.00E+00,-1.63E+00,2.19E+00,5.43E-06
1907,1.83E+00,2.56E-01,0.00E+00,-1.49E+00,2.02E+00,7.55E-06
1908,1.61E+00,2.89E-01,0.00E+00,-1.31E+00,1.76E+00,8.39E-06
1909,1.39E+00,3.10E-01,0.00E+00,-1.10E+00,1.51E+00,8.39E-06
1910,1.18E+00,3.26E-01,0.00E+00,-8.94E-01,1.28E+00,7.77E-06
1911,1.02E+00,3.92E-01,0.00E+00,-6.81E-01,1.10E+00,7.82E-06
1912,8.78E-01,3.80E-01,0.00E+00,-5.57E-01,9.40E-01,7.63E-06
1913,2.73E+00,-4.05E-01,0.00E+00,-2.84E+00,2.94E+00,5.21E-06
1914,2.73E+00,-4.65E-01,0.00E+00,-2.64E+00,3.05E+00,6.71E-07
1915,1.57E+00,1.48E+00,0.00E+00,8.09E-02,1.72E+00,9.36E-06
1916,1.62E+00,1.48E+00,0.00E+00,-2.52E-02,1.80E+00,1.34E-05
1917,3.95E+00,2.98E+00,0.00E+00,2.06E-01,4.34E+00,7.47E-05
